CHROMATOGRAM,
GC27_1.raw,
Data points: 42010,
Time,Intensity
0,4585
0.001667,4581
0.003333,4585
0.005,4585
0.006667,4587
0.008333,4587
0.01,4580
0.011667,4574
0.013333,4577
0.015,4578
0.016667,4575
0.018333,4574
0.02,4570
0.021667,4568
0.023333,4569
0.025,4567
0.026667,4566
0.028333,4566
0.03,4567
0.031667,4568
0.033333,4571
0.035,4573
0.036667,4574
0.038333,4574
0.04,4572
0.041667,4571
0.043333,4570
0.045,4571
0.046667,4574
0.048333,4576
0.05,4577
0.051667,4576
0.053333,4575
0.055,4573
0.056667,4570
0.058333,4569
0.06,4568
0.061667,4570
0.063333,4572
0.065,4572
0.066667,4572
0.068333,4569
0.07,4569
0.071667,4568
0.073333,4568
0.075,4570
0.076667,4575
0.078333,4578
0.08,4578
0.081667,4579
0.083333,4576
0.085,4569
0.086667,4568
0.088333,4567
0.09,4567
0.091667,4570
0.093333,4571
0.095,4569
0.096667,4565
0.098333,4561
0.1,4556
0.101667,4553
0.103333,4555
0.105,4560
0.106667,4563
0.108333,4567
0.11,4571
0.111667,4571
0.113333,4570
0.115,4564
0.116667,4558
0.118333,4555
0.12,4553
0.121667,4552
0.123333,4551
0.125,4555
0.126667,4559
0.128333,4558
0.13,4562
0.131667,4566
0.133333,4570
0.135,4576
0.136667,4584
0.138333,4592
0.14,4596
0.141667,4599
0.143333,4597
0.145,4590
0.146667,4581
0.148333,4570
0.15,4564
0.151667,4560
0.153333,4566
0.155,4569
0.156667,4570
0.158333,4568
0.16,4562
0.161667,4554
0.163333,4543
0.165,4537
0.166667,4537
0.168333,4537
0.17,4544
0.171667,4549
0.173333,4553
0.175,4555
0.176667,4559
0.178333,4562
0.18,4562
0.181667,4566
0.183333,4569
0.185,4569
0.186667,4571
0.188333,4572
0.19,4570
0.191667,4566
0.193333,4562
0.195,4552
0.196667,4542
0.198333,4538
0.2,4537
0.201667,4537
0.203333,4545
0.205,4554
0.206667,4562
0.208333,4568
0.21,4570
0.211667,4566
0.213333,4559
0.215,4553
0.216667,4546
0.218333,4542
0.22,4541
0.221667,4540
0.223333,4537
0.225,4536
0.226667,4536
0.228333,4536
0.23,4538
0.231667,4542
0.233333,4545
0.235,4550
0.236667,4554
0.238333,4561
0.24,4563
0.241667,4565
0.243333,4569
0.245,4568
0.246667,4561
0.248333,4560
0.25,4558
0.251667,4561
0.253333,4564
0.255,4564
0.256667,4562
0.258333,4559
0.26,4554
0.261667,4544
0.263333,4534
0.265,4531
0.266667,4528
0.268333,4534
0.27,4542
0.271667,4546
0.273333,4551
0.275,4554
0.276667,4555
0.278333,4554
0.28,4555
0.281667,4552
0.283333,4551
0.285,4552
0.286667,4554
0.288333,4554
0.29,4550
0.291667,4544
0.293333,4537
0.295,4529
0.296667,4525
0.298333,4528
0.3,4536
0.301667,4550
0.303333,4560
0.305,4568
0.306667,4571
0.308333,4570
0.31,4561
0.311667,4547
0.313333,4534
0.315,4529
0.316667,4530
0.318333,4532
0.32,4531
0.321667,4535
0.323333,4541
0.325,4544
0.326667,4544
0.328333,4544
0.33,4545
0.331667,4547
0.333333,4547
0.335,4549
0.336667,4553
0.338333,4557
0.34,4556
0.341667,4551
0.343333,4542
0.345,4537
0.346667,4535
0.348333,4533
0.35,4537
0.351667,4545
0.353333,4550
0.355,4552
0.356667,4547
0.358333,4542
0.36,4532
0.361667,4528
0.363333,4528
0.365,4529
0.366667,4535
0.368333,4536
0.37,4537
0.371667,4540
