CHROMATOGRAM,
Bear_acid2.raw,
Data points: 23998,
Time,Intensity
0,4487
0.001667,4489
0.003333,4494
0.005,4496
0.006667,4498
0.008333,4498
0.01,4513
0.011667,4522
0.013333,4525
0.015,4528
0.016667,4527
0.018333,4518
0.02,4504
0.021667,4490
0.023333,4485
0.025,4481
0.026667,4481
0.028333,4479
0.03,4478
0.031667,4485
0.033333,4489
0.035,4489
0.036667,4489
0.038333,4487
0.04,4486
0.041667,4485
0.043333,4484
0.045,4484
0.046667,4483
0.048333,4484
0.05,4485
0.051667,4487
0.053333,4488
0.055,4489
0.056667,4488
0.058333,4487
0.06,4488
0.061667,4490
0.063333,4488
0.065,4488
0.066667,4489
0.068333,4492
0.07,4491
0.071667,4490
0.073333,4488
0.075,4488
0.076667,4486
0.078333,4483
0.08,4482
0.081667,4489
0.083333,4498
0.085,4506
0.086667,4513
0.088333,4517
0.09,4518
0.091667,4513
0.093333,4504
0.095,4494
0.096667,4488
0.098333,4487
0.1,4484
0.101667,4482
0.103333,4481
0.105,4479
0.106667,4477
0.108333,4476
0.11,4476
0.111667,4480
0.113333,4489
0.115,4496
0.116667,4499
0.118333,4502
0.12,4501
0.121667,4496
0.123333,4489
0.125,4483
0.126667,4476
0.128333,4473
0.13,4475
0.131667,4474
0.133333,4475
0.135,4478
0.136667,4480
0.138333,4483
0.14,4490
0.141667,4494
0.143333,4497
0.145,4497
0.146667,4499
0.148333,4500
0.15,4494
0.151667,4493
0.153333,4489
0.155,4483
0.156667,4480
0.158333,4479
0.16,4479
0.161667,4484
0.163333,4490
0.165,4492
0.166667,4488
0.168333,4484
0.17,4476
0.171667,4466
0.173333,4459
0.175,4459
0.176667,4461
0.178333,4468
0.18,4471
0.181667,4473
0.183333,4477
0.185,4479
0.186667,4482
0.188333,4484
0.19,4486
0.191667,4487
0.193333,4489
0.195,4488
0.196667,4483
0.198333,4482
0.2,4484
0.201667,4482
0.203333,4479
0.205,4478
0.206667,4477
0.208333,4475
0.21,4471
0.211667,4468
0.213333,4469
0.215,4474
0.216667,4480
0.218333,4479
0.22,4484
0.221667,4490
0.223333,4489
0.225,4484
0.226667,4475
0.228333,4469
0.23,4464
0.231667,4459
0.233333,4455
0.235,4452
0.236667,4456
0.238333,4460
0.24,4461
0.241667,4464
0.243333,4469
0.245,4474
0.246667,4477
0.248333,4480
0.25,4487
0.251667,4490
0.253333,4490
0.255,4490
0.256667,4482
0.258333,4477
0.26,4478
0.261667,4480
0.263333,4483
0.265,4486
0.266667,4488
0.268333,4486
0.27,4481
0.271667,4476
0.273333,4465
0.275,4458
0.276667,4459
0.278333,4460
0.28,4460
0.281667,4460
0.283333,4459
0.285,4463
0.286667,4470
0.288333,4475
0.29,4477
0.291667,4483
0.293333,4485
0.295,4485
0.296667,4482
0.298333,4477
0.3,4476
0.301667,4480
0.303333,4481
0.305,4478
0.306667,4475
0.308333,4471
0.31,4463
0.311667,4458
0.313333,4454
0.315,4456
0.316667,4465
0.318333,4479
0.32,4488
0.321667,4494
0.323333,4500
0.325,4497
0.326667,4490
0.328333,4479
0.33,4468
0.331667,4461
0.333333,4458
0.335,4459
0.336667,4457
0.338333,4456
0.34,4459
0.341667,4460
0.343333,4461
0.345,4464
0.346667,4469
0.348333,4473
0.35,4477
0.351667,4483
0.353333,4490
0.355,4491
0.356667,4491
0.358333,4488
0.36,4481
0.361667,4476
0.363333,4471
0.365,4466
0.366667,4466
0.368333,4470
0.37,4474
0.371667,4473
0.373333,4472
0.375,4468
0.376667,4462
0.378333,4458
0.38,4455
0.381667,4454
0.383333,4458
0.385,4459
0.386667,4458
0.388333,4460
0.39,4462
0.391667,4464
0.393333,4469
0.395,4474
0.396667,4475
0.398333,4477
0.4,4478
0.401667,4473
0.403333,4472
0.405,4475
0.406667,4476
0.408333,4473
0.41,4472
0.411667,4468
0.413333,4460
0.415,4450
0.416667,4442
0.418333,4439
0.42,4451
0.421667,4464
0.423333,4469
0.425,4471
0.426667,4473
0.428333,4467
0.43,4457
0.431667,4445
0.433333,4435
0.435,4432
0.436667,4435
0.438333,4437
0.44,4438
0.441667,4442
0.443333,4445
0.445,4448
0.446667,4455
0.448333,4460
0.45,4463
0.451667,4467
0.453333,4472
0.455,4475
0.456667,4475
0.458333,4476
0.46,4476
0.461667,4474
0.463333,4470
0.465,4467
0.466667,4467
0.468333,4471
0.47,4472
0.471667,4467
0.473333,4461
0.475,4458
0.476667,4452
0.478333,4441
0.48,4432
0.481667,4430
0.483333,4432
0.485,4435
0.486667,4439
0.488333,4440
0.49,4446
0.491667,4453
0.493333,4455
0.495,4456
0.496667,4459
0.498333,4460
0.5,4458
0.501667,4457
0.503333,4455
0.505,4454
0.506667,4455
0.508333,4455
0.51,4449
0.511667,4445
0.513333,4440
0.515,4436
0.516667,4430
0.518333,4428
0.52,4434
0.521667,4442
0.523333,4456
0.525,4464
0.526667,4464
0.528333,4464
0.53,4458
0.531667,4447
0.533333,4431
0.535,4418
0.536667,4413
0.538333,4410
0.54,4413
0.541667,4407
0.543333,4408
0.545,4414
0.546667,4418
0.548333,4422
0.55,4426
0.551667,4434
0.553333,4445
0.555,4450
0.556667,4451
0.558333,4450
0.56,4445
0.561667,4439
0.563333,4437
0.565,4434
0.566667,4436
0.568333,4440
0.57,4443
0.571667,4440
0.573333,4438
0.575,4436
0.576667,4430
0.578333,4426
0.58,4425
0.581667,4423
0.583333,4426
0.585,4427
0.586667,4426
0.588333,4426
0.59,4427
0.591667,4429
0.593333,4431
0.595,4432
0.596667,4431
0.598333,4431
0.6,4433
0.601667,4434
0.603333,4434
0.605,4434
0.606667,4435
0.608333,4435
0.61,4436
0.611667,4436
0.613333,4435
0.615,4437
0.616667,4438
0.618333,4436
0.62,4433
0.621667,4430
0.623333,4428
0.625,4427
0.626667,4426
0.628333,4426
0.63,4427
0.631667,4429
0.633333,4428
0.635,4426
0.636667,4424
0.638333,4423
0.64,4423
0.641667,4421
0.643333,4422
0.645,4425
0.646667,4425
0.648333,4424
0.65,4423
0.651667,4422
0.653333,4423
0.655,4425
0.656667,4426
0.658333,4428
0.66,4430
0.661667,4430
0.663333,4426
0.665,4422
0.666667,4420
0.668333,4419
0.67,4421
0.671667,4421
0.673333,4421
0.675,4423
0.676667,4423
0.678333,4423
0.68,4423
0.681667,4425
0.683333,4426
0.685,4427
0.686667,4427
0.688333,4428
0.69,4428
0.691667,4426
0.693333,4426
0.695,4426
0.696667,4426
0.698333,4426
0.7,4427
0.701667,4426
0.703333,4426
0.705,4426
0.706667,4426
0.708333,4425
0.71,4424
0.711667,4423
0.713333,4422
0.715,4422
0.716667,4424
0.718333,4427
0.72,4430
0.721667,4432
0.723333,4432
0.725,4432
0.726667,4430
0.728333,4428
0.73,4424
0.731667,4421
0.733333,4422
0.735,4423
0.736667,4425
0.738333,4423
0.74,4422
0.741667,4423
0.743333,4423
0.745,4424
0.746667,4424
0.748333,4424
0.75,4426
0.751667,4426
0.753333,4426
0.755,4425
0.756667,4427
0.758333,4428
0.76,4428
0.761667,4428
0.763333,4426
0.765,4427
0.766667,4428
0.768333,4430
0.77,4429
0.771667,4430
0.773333,4433
0.775,4433
0.776667,4431
0.778333,4431
0.78,4429
0.781667,4428
0.783333,4428
0.785,4426
0.786667,4422
0.788333,4421
0.79,4422
0.791667,4421
0.793333,4422
0.795,4425
0.796667,4428
0.798333,4430
0.8,4431
0.801667,4430
0.803333,4430
0.805,4429
0.806667,4428
0.808333,4427
0.81,4428
0.811667,4431
0.813333,4432
0.815,4433
0.816667,4433
0.818333,4432
0.82,4433
0.821667,4433
0.823333,4430
0.825,4430
0.826667,4429
0.828333,4428
0.83,4427
0.831667,4426
0.833333,4425
0.835,4426
0.836667,4429
0.838333,4429
0.84,4429
0.841667,4430
0.843333,4430
0.845,4430
0.846667,4429
0.848333,4426
0.85,4423
0.851667,4423
0.853333,4422
0.855,4419
0.856667,4418
0.858333,4420
0.86,4423
0.861667,4424
0.863333,4425
0.865,4426
0.866667,4427
0.868333,4428
0.87,4427
0.871667,4426
0.873333,4427
0.875,4426
0.876667,4423
0.878333,4421
0.88,4420
0.881667,4420
0.883333,4421
0.885,4422
0.886667,4424
0.888333,4427
0.89,4430
0.891667,4430
0.893333,4430
0.895,4429
0.896667,4425
0.898333,4423
0.9,4421
0.901667,4421
0.903333,4424
0.905,4427
0.906667,4429
0.908333,4431
0.91,4432
0.911667,4430
0.913333,4427
0.915,4426
0.916667,4424
0.918333,4422
0.92,4422
0.921667,4423
0.923333,4422
0.925,4424
0.926667,4424
0.928333,4425
0.93,4425
0.931667,4424
0.933333,4424
0.935,4423
0.936667,4423
0.938333,4424
0.94,4425
0.941667,4425
0.943333,4426
0.945,4427
0.946667,4426
0.948333,4425
0.95,4426
0.951667,4426
0.953333,4426
0.955,4426
0.956667,4426
0.958333,4424
0.96,4423
0.961667,4423
0.963333,4421
0.965,4420
0.966667,4420
0.968333,4424
0.97,4426
0.971667,4428
0.973333,4429
0.975,4430
0.976667,4428
0.978333,4428
0.98,4426
0.981667,4423
0.983333,4422
0.985,4423
0.986667,4421
0.988333,4421
0.99,4420
0.991667,4419
0.993333,4416
0.995,4416
0.996667,4417
0.998333,4419
1,4421
1.001667,4426
1.003333,4427
1.005,4429
1.006667,4430
1.008333,4428
1.01,4427
1.011667,4426
1.013333,4424
1.015,4423
1.016667,4423
1.018333,4423
1.02,4423
1.021667,4421
1.023333,4420
1.025,4417
1.026667,4416
1.028333,4416
1.03,4417
1.031667,4419
1.033333,4422
1.035,4427
1.036667,4432
1.038333,4431
1.04,4432
1.041667,4431
1.043333,4428
1.045,4425
1.046667,4423
1.048333,4424
1.05,4426
1.051667,4430
1.053333,4430
1.055,4429
1.056667,4428
1.058333,4428
1.06,4425
1.061667,4421
1.063333,4421
1.065,4420
1.066667,4420
1.068333,4417
1.07,4417
1.071667,4418
1.073333,4420
1.075,4423
1.076667,4425
1.078333,4425
1.08,4424
1.081667,4421
1.083333,4419
1.085,4417
1.086667,4417
1.088333,4417
1.09,4418
1.091667,4421
1.093333,4421
1.095,4421
1.096667,4419
1.098333,4418
1.1,4417
1.101667,4417
1.103333,4415
1.105,4416
1.106667,4415
1.108333,4416
1.11,4416
1.111667,4416
1.113333,4414
1.115,4413
1.116667,4413
1.118333,4415
1.12,4418
1.121667,4422
1.123333,4423
1.125,4424
1.126667,4427
1.128333,4428
1.13,4425
1.131667,4422
1.133333,4419
1.135,4420
1.136667,4419
1.138333,4418
1.14,4419
1.141667,4420
1.143333,4424
1.145,4422
1.146667,4419
1.148333,4417
1.15,4417
1.151667,4414
1.153333,4413
1.155,4415
1.156667,4417
1.158333,4417
1.16,4416
1.161667,4414
1.163333,4414
1.165,4416
1.166667,4417
1.168333,4416
1.17,4418
1.171667,4419
1.173333,4420
1.175,4420
1.176667,4420
1.178333,4421
1.18,4421
1.181667,4422
1.183333,4424
1.185,4424
1.186667,4426
1.188333,4428
1.19,4428
1.191667,4427
1.193333,4425
1.195,4422
1.196667,4418
1.198333,4417
1.2,4417
1.201667,4417
1.203333,4420
1.205,4421
1.206667,4421
1.208333,4423
1.21,4422
1.211667,4420
1.213333,4419
1.215,4419
1.216667,4419
1.218333,4419
1.22,4419
1.221667,4420
1.223333,4422
1.225,4423
1.226667,4420
1.228333,4419
1.23,4417
1.231667,4415
1.233333,4412
1.235,4409
1.236667,4410
1.238333,4411
1.24,4414
1.241667,4415
1.243333,4416
1.245,4416
1.246667,4415
1.248333,4412
1.25,4409
1.251667,4407
1.253333,4407
1.255,4408
1.256667,4411
1.258333,4411
1.26,4413
1.261667,4413
1.263333,4413
1.265,4413
1.266667,4412
1.268333,4410
1.27,4410
1.271667,4412
1.273333,4412
1.275,4412
1.276667,4414
1.278333,4415
1.28,4417
1.281667,4417
1.283333,4415
1.285,4414
1.286667,4412
1.288333,4411
1.29,4410
1.291667,4409
1.293333,4410
1.295,4410
1.296667,4413
1.298333,4413
1.3,4414
1.301667,4415
1.303333,4416
1.305,4416
1.306667,4416
1.308333,4415
1.31,4413
1.311667,4412
1.313333,4412
1.315,4412
1.316667,4413
1.318333,4414
1.32,4416
1.321667,4417
1.323333,4417
1.325,4418
1.326667,4415
1.328333,4413
1.33,4413
1.331667,4412
1.333333,4413
1.335,4413
1.336667,4413
1.338333,4414
1.34,4415
1.341667,4414
1.343333,4413
1.345,4413
1.346667,4414
1.348333,4416
1.35,4417
1.351667,4420
1.353333,4420
1.355,4422
1.356667,4422
1.358333,4422
1.36,4420
1.361667,4420
1.363333,4419
1.365,4418
1.366667,4418
1.368333,4419
1.37,4418
1.371667,4416
1.373333,4414
1.375,4412
1.376667,4408
1.378333,4406
1.38,4405
1.381667,4408
1.383333,4410
1.385,4412
1.386667,4414
1.388333,4416
1.39,4417
1.391667,4417
1.393333,4417
1.395,4416
1.396667,4416
1.398333,4417
1.4,4414
1.401667,4413
1.403333,4412
1.405,4413
1.406667,4415
1.408333,4418
1.41,4420
1.411667,4421
1.413333,4420
1.415,4418
1.416667,4415
1.418333,4414
1.42,4413
1.421667,4414
1.423333,4415
1.425,4414
1.426667,4415
1.428333,4416
1.43,4417
1.431667,4415
1.433333,4414
1.435,4414
1.436667,4415
1.438333,4415
1.44,4416
1.441667,4413
1.443333,4413
1.445,4413
1.446667,4413
1.448333,4412
1.45,4412
1.451667,4413
1.453333,4414
1.455,4414
1.456667,4414
1.458333,4415
1.46,4417
1.461667,4415
1.463333,4413
1.465,4412
1.466667,4413
1.468333,4412
1.47,4411
1.471667,4412
1.473333,4413
1.475,4415
1.476667,4416
1.478333,4415
1.48,4414
1.481667,4416
1.483333,4417
1.485,4418
1.486667,4419
1.488333,4420
1.49,4417
1.491667,4413
1.493333,4409
1.495,4406
1.496667,4405
1.498333,4404
1.5,4403
1.501667,4407
1.503333,4410
1.505,4413
1.506667,4415
1.508333,4415
1.51,4416
1.511667,4418
1.513333,4417
1.515,4415
1.516667,4414
1.518333,4414
1.52,4414
1.521667,4413
1.523333,4411
1.525,4410
1.526667,4409
1.528333,4408
1.53,4407
1.531667,4407
1.533333,4408
1.535,4409
1.536667,4411
1.538333,4412
1.54,4413
1.541667,4412
1.543333,4410
1.545,4410
1.546667,4412
1.548333,4414
1.55,4415
1.551667,4416
1.553333,4417
1.555,4419
1.556667,4419
1.558333,4419
1.56,4419
1.561667,4419
1.563333,4421
1.565,4421
1.566667,4421
1.568333,4419
1.57,4418
1.571667,4419
1.573333,4416
1.575,4416
1.576667,4416
1.578333,4414
1.58,4414
1.581667,4415
1.583333,4415
1.585,4414
1.586667,4414
1.588333,4414
1.59,4412
1.591667,4414
1.593333,4414
1.595,4413
1.596667,4414
1.598333,4416
1.6,4416
1.601667,4417
1.603333,4418
1.605,4419
1.606667,4419
1.608333,4418
1.61,4416
1.611667,4414
1.613333,4412
1.615,4412
1.616667,4410
1.618333,4408
1.62,4409
1.621667,4411
1.623333,4414
1.625,4416
1.626667,4417
1.628333,4417
1.63,4417
1.631667,4418
1.633333,4416
1.635,4415
1.636667,4416
1.638333,4415
1.64,4417
1.641667,4418
1.643333,4418
1.645,4420
1.646667,4420
1.648333,4420
1.65,4419
1.651667,4418
1.653333,4415
1.655,4411
1.656667,4410
1.658333,4408
1.66,4408
1.661667,4410
1.663333,4410
1.665,4411
1.666667,4412
1.668333,4415
1.67,4414
1.671667,4414
1.673333,4414
1.675,4414
1.676667,4415
1.678333,4416
1.68,4414
1.681667,4412
1.683333,4411
1.685,4410
1.686667,4409
1.688333,4410
1.69,4412
1.691667,4414
1.693333,4415
1.695,4416
1.696667,4416
1.698333,4415
1.7,4414
1.701667,4413
1.703333,4413
1.705,4414
1.706667,4414
1.708333,4411
1.71,4409
1.711667,4409
1.713333,4409
1.715,4409
1.716667,4408
1.718333,4407
1.72,4407
1.721667,4409
1.723333,4411
1.725,4412
1.726667,4412
1.728333,4414
1.73,4413
1.731667,4412
1.733333,4411
1.735,4408
1.736667,4408
1.738333,4410
1.74,4410
1.741667,4412
1.743333,4414
1.745,4414
1.746667,4413
1.748333,4414
1.75,4413
1.751667,4411
1.753333,4411
1.755,4409
1.756667,4408
1.758333,4411
1.76,4414
1.761667,4414
1.763333,4416
1.765,4416
1.766667,4414
1.768333,4414
1.77,4414
1.771667,4412
1.773333,4414
1.775,4416
1.776667,4418
1.778333,4420
1.78,4419
1.781667,4418
1.783333,4417
1.785,4415
1.786667,4411
1.788333,4412
1.79,4412
1.791667,4416
1.793333,4418
1.795,4420
1.796667,4420
1.798333,4420
1.8,4417
1.801667,4412
1.803333,4409
1.805,4409
1.806667,4408
1.808333,4408
1.81,4408
1.811667,4410
1.813333,4412
1.815,4413
1.816667,4415
1.818333,4415
1.82,4417
1.821667,4417
1.823333,4415
1.825,4412
1.826667,4412
1.828333,4414
1.83,4414
1.831667,4414
1.833333,4415
1.835,4414
1.836667,4414
1.838333,4414
1.84,4410
1.841667,4410
1.843333,4410
1.845,4412
1.846667,4411
1.848333,4412
1.85,4413
1.851667,4414
1.853333,4414
1.855,4413
1.856667,4410
1.858333,4410
1.86,4408
1.861667,4408
1.863333,4408
1.865,4408
1.866667,4409
1.868333,4408
1.87,4408
1.871667,4410
1.873333,4410
1.875,4409
1.876667,4409
1.878333,4410
1.88,4412
1.881667,4411
1.883333,4413
1.885,4413
1.886667,4414
1.888333,4414
1.89,4414
1.891667,4413
1.893333,4412
1.895,4412
1.896667,4413
1.898333,4414
1.9,4415
1.901667,4416
1.903333,4415
1.905,4413
1.906667,4413
1.908333,4411
1.91,4410
1.911667,4412
1.913333,4414
1.915,4415
1.916667,4417
1.918333,4418
1.92,4416
1.921667,4413
1.923333,4410
1.925,4408
1.926667,4407
1.928333,4409
1.93,4409
1.931667,4410
1.933333,4413
1.935,4413
1.936667,4414
1.938333,4414
1.94,4412
1.941667,4412
1.943333,4412
1.945,4411
1.946667,4410
1.948333,4411
1.95,4410
1.951667,4410
1.953333,4410
1.955,4410
1.956667,4410
1.958333,4411
1.96,4410
1.961667,4410
1.963333,4410
1.965,4410
1.966667,4410
1.968333,4410
1.97,4408
1.971667,4408
1.973333,4408
1.975,4407
1.976667,4405
1.978333,4406
1.98,4407
1.981667,4407
1.983333,4409
1.985,4411
1.986667,4413
1.988333,4414
1.99,4414
1.991667,4411
1.993333,4408
1.995,4406
1.996667,4406
1.998333,4407
2,4410
2.001667,4411
2.003333,4414
2.005,4414
2.006667,4413
2.008333,4411
2.01,4408
2.011667,4404
2.013333,4404
2.015,4403
2.016667,4403
2.018333,4403
2.02,4405
2.021667,4409
2.023333,4413
2.025,4414
2.026667,4415
2.028333,4415
2.03,4412
2.031667,4409
2.033333,4407
2.035,4405
2.036667,4405
2.038333,4409
2.04,4411
2.041667,4411
2.043333,4411
2.045,4411
2.046667,4407
2.048333,4403
2.05,4400
2.051667,4399
2.053333,4399
2.055,4400
2.056667,4402
2.058333,4402
2.06,4402
2.061667,4403
2.063333,4402
2.065,4400
2.066667,4402
2.068333,4404
2.07,4406
2.071667,4408
2.073333,4408
2.075,4406
2.076667,4405
2.078333,4403
2.08,4403
2.081667,4401
2.083333,4403
2.085,4406
2.086667,4409
2.088333,4411
2.09,4412
2.091667,4412
2.093333,4412
2.095,4413
2.096667,4414
2.098333,4413
2.1,4414
2.101667,4414
2.103333,4415
2.105,4414
2.106667,4415
2.108333,4414
2.11,4413
2.111667,4412
2.113333,4411
2.115,4411
2.116667,4411
2.118333,4409
2.12,4409
2.121667,4408
2.123333,4410
2.125,4409
2.126667,4409
2.128333,4408
2.13,4408
2.131667,4411
2.133333,4412
2.135,4410
2.136667,4409
2.138333,4408
2.14,4409
2.141667,4409
2.143333,4408
2.145,4406
2.146667,4406
2.148333,4409
2.15,4411
2.151667,4410
2.153333,4411
2.155,4413
2.156667,4413
2.158333,4411
2.16,4408
2.161667,4407
2.163333,4407
2.165,4407
2.166667,4408
2.168333,4410
2.17,4410
2.171667,4411
2.173333,4410
2.175,4409
2.176667,4409
2.178333,4409
2.18,4407
2.181667,4407
2.183333,4409
2.185,4411
2.186667,4410
2.188333,4408
2.19,4407
2.191667,4407
2.193333,4407
2.195,4405
2.196667,4404
2.198333,4407
2.2,4408
2.201667,4410
2.203333,4412
2.205,4411
2.206667,4411
2.208333,4411
2.21,4412
2.211667,4411
2.213333,4412
2.215,4412
2.216667,4411
2.218333,4412
2.22,4411
2.221667,4410
2.223333,4407
2.225,4408
